ppg_1,ppg_2,ppg_3
2389377.25,167911568.0,159873120.0
2394212.5,167894656.0,159833632.0
2390989.0,167888208.0,159818320.0
2396630.0,167944608.0,159861824.0
2392600.75,167979264.0,159877136.0
2393406.5,167958320.0,159840880.0
2398241.75,167926080.0,159864256.0
2393406.5,167951056.0,159803008.0
2386959.75,167966368.0,159776416.0
2395018.25,167956704.0,159860224.0
2396630.0,167965568.0,159844096.0
2389377.25,167904320.0,159838464.0
2392600.75,167888208.0,159834432.0
2390183.25,167934944.0,159812672.0
2396630.0,167939776.0,159861024.0
2386959.75,167976848.0,159875536.0
2392600.75,167911568.0,159850544.0
2387765.5,167967184.0,159818320.0
2388571.5,167992160.0,159888432.0
2392600.75,168023584.0,159865056.0
2390989.0,167992160.0,159865856.0
2395824.25,168054208.0,159927104.0
2390183.25,168038096.0,159918240.0
2390989.0,167996992.0,159916624.0
2398241.75,168047760.0,159947248.0
2399047.5,168071936.0,159932752.0
2395824.25,168112240.0,159963376.0
2398241.75,168168640.0,159940800.0
2401465.25,168134800.0,159947248.0
2397436.0,168135600.0,159894864.0
2403882.75,168146880.0,159923888.0
2403077.0,168241984.0,159989152.0
2403882.75,168185568.0,159912608.0
2397436.0,168166224.0,159925488.0
2395824.25,168092080.0,159899712.0
2393406.5,168074352.0,159862640.0
2398241.75,168038096.0,159925488.0
2391794.75,168009888.0,159826368.0
2390989.0,167973632.0,159822352.0
2391794.75,167920432.0,159889232.0
2390989.0,167912384.0,159800592.0
2391794.75,167913184.0,159818320.0
2390183.25,167889824.0,159811056.0
2386959.75,167878528.0,159827984.0
2396630.0,167913184.0,159857808.0
2384542.0,167879344.0,159803008.0
2390989.0,167901104.0,159852960.0
2390989.0,167885792.0,159852160.0
2396630.0,167909968.0,159835232.0
2394212.5,167931728.0,159798176.0
2392600.75,167925280.0,159825568.0
2394212.5,167951872.0,159840880.0
2394212.5,167870480.0,159869088.0
2394212.5,167968784.0,159840080.0
2397436.0,167928496.0,159816704.0
2396630.0,167889824.0,159829600.0
2390183.25,167892240.0,159848944.0
2396630.0,167928496.0,159783664.0
2398241.75,167968784.0,159863440.0
2392600.75,167893840.0,159791728.0
2391794.75,167919632.0,159811056.0
2392600.75,167899488.0,159815088.0
2392600.75,167906736.0,159854576.0
2395824.25,167967184.0,159833632.0
2393406.5,167956704.0,159885200.0
2390989.0,167979264.0,159794944.0
2387765.5,167951872.0,159849744.0
