ppg_1,ppg_2,ppg_3
4140512.75,137590256.0,138147920.0
4135677.75,137564464.0,138086672.0
4133260.0,137562048.0,138113264.0
4137289.5,137627328.0,138127760.0
4138095.25,137647472.0,138097952.0
4145348.0,137615232.0,138156784.0
4150183.25,137666816.0,138144688.0
4146959.75,137698240.0,138125344.0
4134871.75,137765136.0,138181760.0
4137289.5,137762704.0,138218016.0
4146959.75,137788496.0,138187392.0
4139707.0,137774000.0,138203520.0
4145348.0,137757072.0,138240592.0
4141318.75,137674064.0,138241392.0
4134066.0,137594288.0,138258320.0
4148571.5,137532240.0,138218016.0
4137289.5,137505648.0,138209152.0
4147765.5,137466960.0,138209968.0
4139707.0,137425856.0,138185792.0
4138095.25,137441168.0,138155968.0
4138901.0,137449232.0,138151936.0
4130036.75,137456480.0,138212384.0
4145348.0,137421824.0,138183376.0
4138095.25,137479856.0,138186592.0
4145348.0,137489520.0,138189824.0
4148571.5,137495968.0,138196256.0
4147765.5,137482272.0,138215600.0
4155824.25,137557216.0,138262352.0
4147765.5,137511280.0,138258320.0
4160659.25,137502416.0,138246224.0
4150989.0,137512080.0,138238976.0
4150183.25,137473408.0,138233328.0
4156630.0,137513696.0,138284096.0
4160659.25,137500000.0,138287328.0
4162271.0,137546736.0,138332448.0
4158241.75,137575744.0,138305056.0
4158241.75,137528208.0,138301024.0
4163077.0,137609600.0,138315536.0
4166300.25,137612016.0,138338896.0
4171135.5,137606368.0,138332448.0
4174359.0,137650688.0,138351792.0
4169523.75,137670032.0,138374352.0
4180805.75,137668432.0,138374352.0
4172747.25,137684544.0,138375168.0
4173553.0,137668432.0,138394512.0
4182417.5,137741760.0,138364688.0
4181611.75,137790912.0,138383216.0
4180805.75,137757872.0,138444464.0
4187252.75,137797360.0,138413040.0
4185641.0,137836848.0,138413040.0
4191282.0,137827984.0,138400144.0
4190476.25,137878752.0,138470256.0
4192893.75,137883584.0,138446880.0
4200146.5,137985136.0,138501680.0
4200952.5,137974656.0,138493632.0
4196923.0,137957728.0,138515392.0
4195311.5,137969824.0,138428352.0
4200952.5,137996416.0,138488784.0
4178388.25,137987552.0,138489600.0
4183223.5,137915024.0,138446080.0
4180000.0,137848944.0,138434000.0
4182417.5,137731280.0,138416256.0
4180805.75,137684544.0,138440432.0
4185641.0,137668432.0,138387248.0
4191282.0,137669232.0,138458976.0
4189670.25,137609600.0,138395312.0
4181611.75,137661984.0,138451728.0
4188058.5,137638608.0,138349376.0
4184835.25,137639408.0,138361472.0
4182417.5,137636192.0,138420288.0
4180000.0,137655536.0,138389664.0
4181611.75,137683744.0,138384832.0
4188864.5,137757872.0,138417872.0
4196117.0,137697440.0,138417872.0
4189670.25,137722416.0,138427552.0
4198535.0,137703072.0,138400144.0
4194505.5,137723216.0,138408208.0
4196923.0,137729664.0,138412240.0
4201758.0,137713552.0,138429152.0
4196923.0,137678896.0,138428352.0
4192893.75,137680512.0,138428352.0
4203370.0,137720800.0,138459776.0
4198535.0,137753040.0,138443664.0
4204981.5,137771568.0,138386448.0
4205787.5,137728864.0,138459776.0
4214652.0,137738528.0,138478320.0
4213040.5,137819920.0,138455744.0
4209011.0,137852160.0,138509744.0
4217069.5,137857808.0,138452528.0
4223516.5,137872304.0,138511360.0
4213040.5,137913408.0,138506528.0
4217069.5,137930336.0,138576624.0
4217875.5,137948064.0,138567760.0
4215458.0,137965792.0,138558096.0
4233187.0,137998016.0,138545200.0
4223516.5,138002048.0,138620960.0
4227546.0,138059264.0,138538752.0
4222710.5,138085056.0,138576624.0
4233187.0,138091504.0,138624976.0
4232381.0,138129376.0,138617728.0
4226740.0,138120512.0,138667696.0
4232381.0,138158384.0,138598384.0
4222710.5,138151936.0,138633840.0
4224322.5,138101984.0,138668496.0
4227546.0,138062496.0,138655600.0
4223516.5,138011728.0,138579040.0
4213040.5,137922272.0,138579856.0
4218681.5,137875536.0,138589520.0
4214652.0,137869088.0,138612080.0
4218681.5,137832016.0,138535536.0
4213846.0,137836848.0,138574208.0
4218681.5,137811056.0,138528272.0
4225934.0,137856992.0,138593552.0
4215458.0,137840880.0,138585488.0
4217875.5,137863440.0,138587920.0
4216263.5,137861824.0,138566960.0
4217875.5,137867472.0,138570176.0
4215458.0,137888432.0,138571792.0
4222710.5,137900512.0,138541984.0
4222710.5,137949664.0,138582272.0
4229963.5,137905344.0,138568576.0
4225128.0,137924688.0,138621760.0
4221905.0,137895680.0,138583072.0
4229157.5,137874720.0,138579040.0
4225128.0,137877136.0,138593552.0
4227546.0,137946448.0,138624976.0
4232381.0,137927920.0,138586304.0
4233992.5,137956928.0,138666080.0
4242051.5,137981904.0,138595168.0
4248498.0,137967392.0,138645136.0
4249304.0,137987552.0,138565344.0
4242051.5,137977072.0,138600000.0
4241245.5,138028640.0,138641904.0
4246886.5,138010912.0,138638688.0
4237216.0,138060880.0,138626592.0
4242051.5,138077808.0,138654800.0
4243663.0,138141472.0,138685424.0
4253333.5,138147920.0,138678976.0
4254945.0,138155168.0,138682192.0
4255751.0,138151936.0,138628208.0
4258974.5,138193040.0,138704768.0
4255751.0,138210768.0,138737808.0
4271062.5,138225280.0,138695088.0
4271868.0,138294576.0,138709600.0
4270256.5,138317136.0,138722496.0
4261392.0,138264768.0,138724096.0
4267033.0,138296992.0,138724096.0
4268644.5,138275232.0,138723296.0
4251721.5,138300224.0,138742640.0
4254139.0,138273632.0,138748272.0
4259780.0,138179344.0,138748272.0
4254139.0,138105200.0,138707984.0
4258974.5,138027040.0,138656416.0
4260586.0,138023808.0,138698320.0
4254945.0,138006880.0,138706368.0
4259780.0,137961760.0,138665280.0
4252527.5,137979488.0,138616112.0
4257362.5,137984320.0,138686224.0
4262198.0,137946448.0,138662048.0
4259780.0,137993184.0,138670112.0
4259780.0,138013328.0,138668496.0
4254139.0,138000432.0,138656416.0
4256557.0,138024608.0,138678976.0
4263003.5,137989152.0,138638688.0
4267033.0,138051216.0,138674944.0
4261392.0,138089888.0,138676560.0
4264615.5,138082640.0,138652384.0
4261392.0,138045568.0,138697504.0
4265421.0,138028640.0,138685424.0
4264615.5,138061680.0,138674144.0
4259780.0,138027040.0,138700736.0
4262198.0,138005280.0,138680592.0
4264615.5,138076192.0,138680592.0
4265421.0,138072960.0,138674944.0
4268644.5,138093120.0,138669312.0
4263809.5,138136624.0,138674144.0
4260586.0,138172080.0,138723296.0
4264615.5,138172080.0,138686224.0
4267839.0,138151936.0,138696704.0
4276703.5,138200288.0,138712816.0
4277509.0,138218016.0,138698320.0
4276703.5,138251056.0,138724096.0
4272674.0,138265568.0,138712816.0
4276703.5,138267984.0,138726528.0
4275091.5,138292960.0,138766816.0
4276703.5,138298608.0,138712816.0
4283150.0,138322784.0,138751504.0
4275897.5,138392896.0,138786160.0
4281538.5,138361472.0,138673328.0
4279926.5,138354208.0,138659632.0
4282344.5,138360656.0,138624176.0
4274285.5,138393696.0,138701536.0
4276703.5,138425136.0,138639488.0
4282344.5,138416256.0,138710400.0
4282344.5,138359856.0,138642704.0
4277509.0,138259120.0,138679776.0
4270256.5,138234944.0,138649152.0
4277509.0,138159200.0,138657216.0
4269450.5,138136624.0,138650768.0
4272674.0,138089888.0,138634656.0
4266227.0,138043952.0,138610480.0
4270256.5,138109232.0,138613696.0
4272674.0,138027040.0,138618528.0
4271868.0,138066528.0,138624976.0
4271062.5,138069744.0,138595968.0
4267033.0,138081024.0,138638688.0
4276703.5,138115680.0,138605648.0
4270256.5,138140656.0,138595168.0
4270256.5,138138240.0,138611280.0
4279121.0,138155968.0,138631424.0
4269450.5,138155168.0,138576624.0
4271062.5,138159200.0,138597584.0
4278315.0,138134208.0,138606448.0
4271062.5,138155968.0,138634656.0
4263809.5,138155968.0,138612896.0
4273480.0,138114864.0,138592752.0
4271868.0,138143888.0,138643520.0
4277509.0,138104400.0,138654000.0
4277509.0,138178528.0,138642704.0
4275897.5,138208352.0,138619344.0
4275897.5,138222864.0,138633840.0
4281538.5,138209968.0,138643520.0
4279121.0,138244608.0,138633040.0
4284762.0,138283296.0,138616112.0
4294432.0,138276848.0,138654800.0
4287179.5,138332448.0,138681392.0
4294432.0,138321168.0,138633040.0
4292014.5,138340512.0,138641904.0
4296044.0,138340512.0,138618528.0
4290403.0,138393696.0,138675744.0
4292014.5,138420288.0,138645936.0
4291209.0,138438832.0,138691872.0
4298461.5,138416256.0,138662048.0
4298461.5,138422704.0,138657216.0
4304102.5,138465424.0,138714432.0
4300073.5,138526672.0,138649968.0
4295238.0,138528272.0,138666080.0
4296850.0,138524256.0,138673328.0
4296850.0,138521024.0,138728944.0
4304908.5,138488784.0,138666080.0
4304908.5,138429968.0,138724912.0
4299267.5,138346960.0,138646736.0
4295238.0,138328432.0,138629008.0
4289597.0,138263152.0,138587920.0
4287179.5,138250256.0,138620144.0
4292014.5,138218832.0,138590336.0
4287985.5,138173696.0,138537136.0
4279121.0,138192240.0,138559712.0
4296044.0,138208352.0,138567760.0
4280732.5,138186592.0,138581472.0
4283956.0,138178528.0,138558896.0
4297655.5,138176928.0,138510544.0
4285568.0,138202704.0,138595168.0
4300879.0,138253472.0,138546816.0
4292014.5,138233328.0,138516192.0
4292014.5,138250256.0,138561312.0
4296044.0,138222864.0,138551648.0
4290403.0,138252672.0,138584688.0
4293626.5,138247040.0,138559712.0
4290403.0,138258320.0,138557296.0
4286373.5,138250256.0,138541984.0
4287179.5,138272816.0,138537136.0
4298461.5,138222864.0,138484768.0
4290403.0,138259120.0,138538752.0
4295238.0,138303440.0,138516192.0
4302491.0,138266368.0,138566160.0
4299267.5,138272816.0,138552448.0
4307326.0,138368720.0,138543584.0
4307326.0,138346960.0,138538752.0
4304102.5,138359040.0,138553264.0
4303296.5,138411424.0,138559712.0
4308132.0,138439632.0,138519408.0
4306520.0,138431568.0,138549232.0
4311355.5,138438016.0,138550848.0
4311355.5,138429968.0,138568576.0
4309743.5,138508944.0,138571792.0
4307326.0,138464608.0,138545200.0
4316190.5,138548432.0,138595168.0
4315384.5,138568576.0,138546000.0
4321025.5,138548432.0,138587104.0
4320220.0,138562128.0,138570992.0
4317802.0,138579040.0,138562928.0
4315384.5,138613696.0,138629824.0
4317802.0,138600000.0,138577440.0
4318608.0,138674144.0,138591936.0
4321831.5,138637872.0,138546816.0
4318608.0,138566160.0,138600800.0
4315384.5,138486368.0,138568576.0
4314579.0,138430768.0,138519408.0
4300879.0,138400960.0,138508944.0
4306520.0,138292960.0,138482352.0
4304102.5,138294576.0,138506528.0
4308132.0,138303440.0,138490400.0
4308937.5,138308272.0,138438016.0
4317802.0,138313920.0,138469456.0
4300879.0,138286528.0,138500880.0
4307326.0,138292960.0,138411424.0
4307326.0,138314720.0,138418688.0
4293626.5,138306672.0,138433184.0
4301685.0,138309088.0,138425136.0
4308132.0,138331648.0,138444464.0
4300879.0,138320368.0,138359856.0
4292014.5,138339712.0,138406592.0
4296044.0,138326000.0,138428352.0
4292014.5,138315536.0,138346960.0
4299267.5,138343744.0,138387248.0
4294432.0,138290544.0,138372752.0
4303296.5,138308272.0,138378384.0
4304908.5,138308272.0,138388064.0
4301685.0,138334064.0,138307472.0
4296044.0,138343744.0,138360656.0
4296850.0,138417072.0,138346160.0
4294432.0,138415456.0,138377584.0
4304908.5,138369520.0,138378384.0
4293626.5,138420288.0,138350176.0
4305714.5,138378384.0,138374352.0
4296044.0,138460592.0,138370336.0
4315384.5,138440432.0,138346960.0
4300073.5,138464608.0,138375968.0
4305714.5,138487184.0,138389664.0
4308132.0,138486368.0,138342928.0
4299267.5,138534720.0,138421104.0
4306520.0,138511360.0,138342928.0
4303296.5,138581472.0,138409008.0
4305714.5,138583888.0,138363888.0
4300073.5,138619344.0,138356624.0
4310549.5,138612896.0,138353408.0
4311355.5,138649968.0,138370336.0
4308132.0,138672528.0,138348576.0
4303296.5,138656416.0,138365488.0
4311355.5,138696704.0,138378384.0
4305714.5,138705568.0,138378384.0
4308937.5,138661248.0,138367920.0
4305714.5,138645936.0,138396112.0
4296850.0,138579856.0,138362272.0
4292014.5,138478320.0,138326816.0
4299267.5,138424320.0,138332448.0
4288791.0,138337296.0,138250256.0
4287179.5,138379200.0,138242192.0
4285568.0,138302640.0,138267184.0
4282344.5,138306672.0,138236560.0
4287985.5,138267184.0,138236560.0
4281538.5,138273632.0,138195456.0
4274285.5,138250256.0,138156784.0
4273480.0,138222048.0,138159200.0
4273480.0,138241392.0,138157584.0
4272674.0,138217216.0,138114864.0
4268644.5,138276848.0,138198688.0
4266227.0,138236560.0,138170480.0
4263003.5,138278464.0,138131792.0
4261392.0,138302640.0,138111648.0
4272674.0,138245424.0,138138240.0
4267033.0,138256704.0,138086672.0
4268644.5,138258320.0,138097952.0
4267033.0,138261536.0,138135824.0
4272674.0,138237360.0,138071360.0
4267033.0,138275232.0,138096336.0
4264615.5,138238176.0,138010912.0
4267033.0,138281680.0,138065712.0
4263809.5,138285712.0,138070544.0
4259780.0,138272016.0,138089888.0
4259780.0,138288128.0,138110032.0
4265421.0,138326816.0,138079408.0
4267839.0,138361472.0,138127760.0
4262198.0,138307472.0,138101984.0
4266227.0,138387248.0,138085056.0
4261392.0,138376784.0,138070544.0
4263809.5,138359856.0,138095536.0
4263003.5,138422704.0,138080224.0
4271868.0,138382416.0,138110848.0
4258168.5,138419488.0,138106816.0
4267033.0,138428352.0,138101984.0
4266227.0,138486368.0,138110032.0
4258168.5,138446880.0,138080224.0
4261392.0,138492016.0,138089888.0
4263003.5,138484768.0,138104400.0
4261392.0,138535536.0,138111648.0
4260586.0,138586304.0,138092304.0
4255751.0,138569376.0,138143888.0
4259780.0,138571792.0,138133408.0
4267839.0,138592752.0,138104400.0
4265421.0,138574208.0,138115680.0
4265421.0,138637072.0,138129376.0
4270256.5,138616928.0,138081824.0
4263809.5,138554864.0,138137440.0
4254945.0,138537952.0,138114064.0
4251721.5,138485568.0,138094720.0
4247692.5,138383216.0,138067328.0
4246886.5,138309088.0,138014944.0
4243663.0,138288944.0,137999632.0
4238022.0,138218832.0,137935968.0
4246080.5,138189008.0,137915024.0
4239633.5,138164032.0,137999632.0
4235604.5,138139856.0,137912608.0
4239633.5,138083440.0,137925488.0
4232381.0,138120512.0,137881984.0
4218681.5,138112448.0,137948064.0
4220293.0,138085856.0,137919856.0
4229157.5,138048784.0,137912608.0
4229157.5,138089088.0,137839264.0
4225128.0,138072960.0,137873120.0
4225934.0,138129376.0,137867472.0
4228351.5,138127760.0,137853776.0
4223516.5,138102784.0,137864256.0
4214652.0,138077808.0,137784464.0
4223516.5,138110848.0,137862640.0
4213846.0,138114064.0,137886000.0
4211428.5,138052816.0,137798176.0
4216263.5,138075392.0,137846528.0
4209817.0,138095536.0,137857808.0
4224322.5,138055232.0,137850544.0
4216263.5,138084256.0,137821536.0
4223516.5,138064912.0,137811056.0
4213846.0,138093120.0,137844912.0
4213040.5,138088272.0,137828784.0
4204981.5,138131792.0,137842496.0
4215458.0,138150336.0,137815904.0
4218681.5,138176112.0,137823952.0
4213040.5,138230912.0,137827984.0
4217069.5,138185792.0,137819120.0
4217875.5,138214800.0,137856992.0
4216263.5,138176928.0,137883584.0
4212234.5,138243808.0,137906960.0
4211428.5,138283296.0,137831216.0
4210622.5,138276848.0,137880368.0
4219487.0,138296992.0,137872304.0
4217069.5,138382416.0,137937584.0
4221099.0,138329232.0,137873920.0
4215458.0,138400144.0,137886816.0
4215458.0,138365488.0,137891648.0
4216263.5,138404176.0,137952896.0
4215458.0,138384832.0,137926304.0
4215458.0,138406592.0,137960144.0
4225128.0,138429152.0,137966592.0
4225934.0,138496048.0,137969824.0
4217875.5,138467840.0,137977072.0
4221905.0,138534720.0,137992384.0
4218681.5,138498464.0,137944832.0
4209817.0,138546816.0,137950480.0
4219487.0,138497648.0,137967392.0
4211428.5,138406592.0,137989152.0
4215458.0,138317136.0,137944032.0
4214652.0,138239776.0,137910176.0
4211428.5,138239776.0,137882784.0
4207399.5,138158384.0,137895680.0
4212234.5,138103584.0,137892448.0
4207399.5,138086672.0,137847328.0
4206593.5,138115680.0,137776416.0
4209817.0,138055232.0,137840880.0
4194505.5,138092304.0,137769152.0
4194505.5,138035904.0,137837648.0
4188864.5,138043952.0,137805424.0
4184835.25,138056848.0,137836048.0
4188058.5,138067328.0,137806224.0
4192893.75,138078608.0,137839264.0
4193699.75,138101984.0,137844096.0
4191282.0,138106816.0,137798176.0
4192893.75,138104400.0,137776416.0
4185641.0,138083440.0,137883584.0
4180000.0,138090688.0,137782864.0
4187252.75,138088272.0,137813472.0
4186447.0,138107616.0,137840080.0
4188864.5,138097136.0,137786880.0
4186447.0,138130992.0,137781248.0
4183223.5,138126160.0,137844912.0
4187252.75,138164832.0,137877136.0
4184835.25,138126160.0,137901312.0
4192088.0,138118896.0,137810256.0
4192088.0,138187392.0,137892448.0
4192088.0,138173696.0,137877952.0
4192893.75,138222048.0,137906960.0
4189670.25,138207552.0,137877952.0
4186447.0,138258320.0,137881168.0
4201758.0,138262352.0,137892448.0
4197729.0,138292160.0,137966592.0
4197729.0,138336480.0,137935968.0
4200146.5,138308272.0,137918240.0
4202564.0,138372752.0,137946448.0
4206593.5,138375168.0,137980288.0
4210622.5,138382416.0,138006080.0
4203370.0,138418688.0,137962560.0
4200146.5,138438016.0,138047184.0
4202564.0,138421904.0,137998832.0
4213040.5,138432384.0,138037504.0
4208205.0,138482352.0,138007696.0
4214652.0,138492016.0,138037504.0
4209817.0,138496048.0,138099568.0
4214652.0,138595168.0,138054432.0
4221905.0,138550032.0,138047184.0
4231575.0,138607248.0,138103584.0
4229963.5,138634656.0,138067328.0
4225934.0,138600000.0,138088272.0
4225934.0,138599200.0,138114064.0
4231575.0,138644320.0,138072960.0
4224322.5,138624176.0,138088272.0
4225934.0,138603216.0,138073776.0
4232381.0,138528272.0,138121312.0
4223516.5,138423520.0,138072160.0
4213846.0,138396112.0,138113264.0
4224322.5,138336480.0,138052816.0
4221905.0,138284912.0,138070544.0
4224322.5,138262352.0,137987552.0
4221099.0,138327616.0,138052016.0
4217069.5,138302640.0,138051216.0
4220293.0,138308272.0,138014144.0
4217069.5,138272816.0,138060880.0
4222710.5,138301024.0,137989152.0
4209817.0,138363888.0,138084256.0
4217069.5,138371936.0,138059264.0
4221905.0,138359040.0,138022192.0
4217875.5,138413040.0,138005280.0
4220293.0,138419488.0,138067328.0
4221905.0,138383216.0,138049600.0
4221099.0,138405792.0,138095536.0
4216263.5,138375168.0,138101168.0
4217875.5,138350176.0,138066528.0
4216263.5,138363072.0,138060880.0
4217069.5,138374352.0,138060080.0
4216263.5,138420288.0,138056048.0
4224322.5,138361472.0,138071360.0
4206593.5,138421104.0,138079408.0
4217069.5,138482352.0,138085856.0
4217875.5,138469456.0,138137440.0
4225128.0,138462192.0,138094720.0
4212234.5,138508128.0,138111648.0
4214652.0,138514576.0,138142272.0
4216263.5,138531504.0,138133408.0
4217069.5,138562128.0,138141472.0
4217069.5,138571792.0,138160000.0
4217069.5,138612896.0,138126160.0
4225934.0,138628208.0,138180960.0
4227546.0,138635456.0,138168864.0
4220293.0,138638688.0,138166448.0
4231575.0,138658832.0,138201904.0
4229963.5,138658832.0,138192240.0
4233187.0,138695904.0,138182560.0
4226740.0,138778096.0,138226080.0
4231575.0,138748272.0,138247040.0
4236410.5,138815168.0,138292960.0
4238828.0,138807920.0,138222864.0
4237216.0,138868352.0,138266368.0
4238828.0,138828064.0,138266368.0
4238022.0,138839344.0,138238176.0
4237216.0,138890112.0,138344544.0
