timestamps,eeg_1,eeg_2,eeg_3,eeg_4,ppg_1,ppg_2,ppg_3
1553360313.8277841,,,,,,,
1553360313.8629529,,,,,,,
1553360313.8981218,,,,,,,
1553360313.9332907,,,,,,,
1553360313.9684596,,,,,,,
1553360313.9814019,,,,, 'recorder_version': '4'}""",,,,,
1553360313.9889510,,,,, 'os_version': '11.4.1', 'hardware_model_name': 'iPad AIR 2', 'hardware_model_id': 'iPad5,3', 'processor_name': 'ARM64 V8', 'processor_speed': 'Unknown', 'number_of_processors': 3, 'memory_size': '2084MB', 'bluetooth_version': '4.2', 'time_zone': 'EDT', 'time_zone_offset_seconds': -14400}""",
1553360313.9892571,,,,, 'preset': '51', 'model': 'MU_03', 'headband_name': 'Muse-2051', 'microcontroller_id': '003b003d 46435014 20323754', 'filters_enabled': False, 'notch_frequency_hz': 0, 'eeg_sample_frequency_hz': 4294967295, 'eeg_output_frequency_hz': 256, 'eeg_samples_bitwidth': 16, 'eeg_channel_count': 4, 'eeg_channel_layout': 'TP9 FP1 FP2 TP10', 'eeg_downsample': 4294967295
1553360314.0036285,,,,,,,
1553360314.0181925,,,,,,,
1553360314.0184550,,,,,,,
1553360314.0314562,,,,,2389377.25,167911568.0,159873120.0
1553360314.0378261,,,,,,,
1553360314.0380886,,,,,,,
1553360314.0387976,,,,,,,
1553360314.0470555,,,,,2394212.5,167894656.0,159833632.0
1553360314.0574596,,,,,,,
1553360314.0577219,,,,,,,
1553360314.0626547,,,,,2390989.0,167888208.0,159818320.0
1553360314.0723295,877.179504395,816.336975098,811.501831055,883.626403809,,,
1553360314.0739665,,,,,,,
1553360314.0762284,867.912109375,816.336975098,815.128234863,853.003662109,,,
1553360314.0770929,,,,,,,
1553360314.0773554,,,,,,,
1553360314.0782540,,,,,2396630.0,167944608.0,159861824.0
1553360314.0801272,824.395629883,814.725280762,810.293029785,792.967041016,,,
1553360314.0840263,823.186828613,811.501831055,805.860778809,806.666687012,,,
1553360314.0879252,868.315002441,811.904785156,816.336975098,856.630065918,,,
1553360314.0918241,877.582397461,813.113525391,819.963378906,860.256408691,,,
1553360314.0938532,,,,,2392600.75,167979264.0,159877136.0
1553360314.0957229,835.67767334,810.695983887,814.32232666,808.681335449,,,
1553360314.0967264,,,,,,,
1553360314.0969889,,,,,,,
1553360314.0991402,,,,,,,
1553360314.0991402,,,,,,,
1553360314.0993669,,,,,,,
1553360314.0993874,,,,,,,
1553360314.0994134,,,,,,,
1553360314.0995305,,,,,,,
1553360314.0995922,,,,,,,
1553360314.0996220,829.230773926,816.739929199,812.710632324,795.787536621,,,
1553360314.0996325,,,,,,,
1553360314.0996635,,,,,,,
1553360314.0996964,,,,,,,
1553360314.0998204,,,,,,,
1553360314.0998561,,,,,,,
1553360314.0998821,,,,,,,
1553360314.0999129,,,,,,,
1553360314.1000059,,,,,,,
1553360314.1000528,,,,,,,
1553360314.1000717,,,,,,,
1553360314.1002364,,,,,,,
1553360314.1035209,874.358947754,819.157531738,815.128234863,853.406616211,,,
1553360314.1074197,902.161193848,811.904785156,815.934082031,871.94140625,,,
1553360314.1091354,,,,,,,
1553360314.1094522,,,,,2393406.5,167958320.0,159840880.0
1553360314.1113186,867.509155273,807.875488281,810.293029785,817.545776367,,,
1553360314.1152177,834.871765137,806.26373291,803.846130371,782.490844727,,,
1553360314.1163599,,,,,,,
1553360314.1166222,,,,,,,
1553360314.1191165,862.271057129,812.307678223,801.428588867,836.886474609,,,
1553360314.1230154,894.102539062,817.948730469,795.384643555,885.238098145,,,
1553360314.1250515,,,,,2398241.75,167926080.0,159864256.0
1553360314.1269143,868.315002441,817.948730469,796.996337891,836.483520508,,,
1553360314.1308134,832.857116699,818.351623535,807.875488281,791.758239746,,,
1553360314.1347122,848.168518066,817.142883301,815.53112793,830.842468262,,,
1553360314.1359935,,,,,,,
1553360314.1362557,,,,,,,
1553360314.1386111,884.029296875,807.069580078,814.32232666,881.20880127,,,
1553360314.1406507,,,,,2393406.5,167951056.0,159803008.0
1553360314.1425099,885.238098145,805.457885742,814.32232666,862.271057129,,,
1553360314.1443043,,,,,,,
1553360314.1464090,851.391967773,814.32232666,817.948730469,811.904785156,,,
1553360314.1503079,843.333312988,814.32232666,820.366271973,820.366271973,,,
1553360314.1542068,881.20880127,813.516479492,819.963378906,881.611694336,,,
1553360314.1556270,,,,,,,
1553360314.1558890,,,,,,,
1553360314.1562500,,,,,2386959.75,167966368.0,159776416.0
1553360314.1581056,897.728942871,815.934082031,819.963378906,876.373596191,,,
1553360314.1620047,859.047607422,818.351623535,818.754577637,810.293029785,,,
1553360314.1659036,835.67767334,815.128234863,811.904785156,798.608032227,,,
1553360314.1698024,866.703308105,808.681335449,810.695983887,848.974365234,,,
1553360314.1718493,,,,,2395018.25,167956704.0,159860224.0
1553360314.1737013,894.102539062,808.278381348,812.710632324,876.373596191,,,
1553360314.1752605,,,,,,,
1553360314.1755226,,,,,,,
1553360314.1776004,870.329650879,811.098876953,805.457885742,826.41027832,,,
1553360314.1794732,,,,,,,
1553360314.1814992,832.051269531,813.113525391,802.637390137,789.743591309,,,
1553360314.1853981,849.780212402,813.516479492,805.457885742,831.648376465,,,
1553360314.1874485,,,,,2396630.0,167965568.0,159844096.0
1553360314.1892970,889.670349121,812.710632324,808.681335449,870.329650879,,,
1553360314.1931961,876.776550293,810.293029785,811.904785156,833.663024902,,,
1553360314.1948938,,,,,,,
1553360314.1951561,,,,,,,
1553360314.1970949,833.663024902,809.890136719,811.098876953,786.1171875,,,
1553360314.2006135,,,,,,,
1553360314.2006135,,,,,,,
1553360314.2008402,,,,,,,
1553360314.2008607,,,,,,,
1553360314.2008867,,,,,,,
1553360314.2009938,838.095214844,811.098876953,803.443237305,820.769226074,,,
1553360314.2010038,,,,,,,
1553360314.2010653,,,,,,,
1553360314.2011056,,,,,,,
1553360314.2011366,,,,,,,
1553360314.2011695,,,,,,,
1553360314.2012935,,,,,,,
1553360314.2013290,,,,,,,
1553360314.2013550,,,,,,,
1553360314.2013857,,,,,,,
1553360314.2014787,,,,,,,
1553360314.2015254,,,,,,,
1553360314.2015443,,,,,,,
1553360314.2017088,,,,,,,
1553360314.2030478,,,,,2389377.25,167904320.0,159838464.0
1553360314.2048926,877.582397461,814.725280762,805.457885742,879.194152832,,,
1553360314.2087917,877.985351562,820.769226074,811.904785156,865.494506836,,,
1553360314.2126906,825.201477051,815.128234863,806.26373291,809.890136719,,,
1553360314.2145274,,,,,,,
1553360314.2146420,,,,,,,
1553360314.2147894,,,,,,,
1553360314.2165895,806.666687012,807.875488281,813.113525391,812.307678223,,,
1553360314.2186470,,,,,2392600.75,167888208.0,159834432.0
1553360314.2204883,850.183166504,811.098876953,819.560424805,863.076904297,,,
1553360314.2243874,869.120849609,814.725280762,811.098876953,864.688659668,,,
1553360314.2282863,836.886474609,812.710632324,807.47253418,815.128234863,,,
1553360314.2321851,811.904785156,807.875488281,811.098876953,803.040283203,,,
1553360314.2341609,,,,,,,
1553360314.2342463,,,,,2390183.25,167934944.0,159812672.0
1553360314.2344229,,,,,,,
